Estacion,Origen,Destino,Total,Try,Diferencia,Slots
2,17767,18094,35861,1,327,11
3,15930,14112,30042,1,-1818,15
4,16628,15242,31870,1,-1386,19
5,10899,10493,21392,1,-406,11
6,8344,10892,19236,1,2548,11
8,7039,8105,15144,1,1066,11
9,15634,17293,32927,1,1659,15
10,10821,11627,22448,1,806,15
11,38121,35107,73228,1,-3014,19
12,15312,16106,31418,1,794,11
13,10379,9783,20162,1,-596,11
14,15237,14209,29446,1,-1028,11
15,11299,10768,22067,1,-531,11
16,23422,23680,47102,1,258,15
17,19400,19427,38827,1,27,15
18,11517,10733,22250,1,-784,15
19,12892,10499,23391,1,-2393,15
20,10925,10133,21058,1,-792,11
21,25630,23314,48944,1,-2316,19
22,14736,14389,29125,1,-347,15
23,17345,16764,34109,1,-581,15
24,9381,8841,18222,1,-540,15
25,12438,11205,23643,1,-1233,15
26,15502,15330,30832,1,-172,15
27,18456,19926,38382,1,1470,15
28,17144,15940,33084,1,-1204,15
29,7986,9190,17176,1,1204,11
30,16665,15196,31861,1,-1469,11
31,7479,13471,20950,1,5992,15
32,23071,21474,44545,1,-1597,19
33,15263,14861,30124,1,-402,11
34,26763,33793,60556,1,7030,15
35,28743,32599,61342,1,3856,15
36,13863,16282,30145,1,2419,11
37,8412,8884,17296,1,472,11
38,24966,27433,52399,1,2467,19
39,13009,12211,25220,1,-798,15
40,14373,14295,28668,1,-78,15
41,8614,7859,16473,1,-755,15
42,16527,19741,36268,1,3214,15
43,9852,9635,19487,1,-217,15
44,10627,9213,19840,1,-1414,15
45,16419,13401,29820,1,-3018,11
46,11827,10952,22779,1,-875,15
47,12694,11412,24106,1,-1282,19
48,9027,8586,17613,1,-441,11
49,15543,14684,30227,1,-859,15
50,46814,50382,97196,1,3568,19
51,49214,59744,108958,1,10530,33
52,42128,43335,85463,1,1207,23
53,21799,25149,46948,1,3350,15
54,33188,37482,70670,1,4294,23
55,9461,11552,21013,1,2091,15
56,30932,37753,68685,1,6821,23
57,9450,11145,20595,1,1695,15
58,28903,31587,60490,1,2684,19
59,9139,11552,20691,1,2413,11
60,10256,10681,20937,1,425,11
61,12677,12219,24896,1,-458,15
62,16377,17921,34298,1,1544,23
63,22186,22808,44994,1,622,19
64,26323,27346,53669,1,1023,15
65,26824,27183,54007,1,359,23
66,28934,29339,58273,1,405,19
67,14286,13402,27688,1,-884,15
68,11351,10905,22256,1,-446,15
69,28206,28608,56814,1,402,19
70,18544,19462,38006,1,918,19
71,9976,8896,18872,1,-1080,15
72,15093,15059,30152,1,-34,11
73,23160,22239,45399,1,-921,15
74,14301,13251,27552,1,-1050,15
75,37336,34401,71737,1,-2935,19
76,8016,8496,16512,1,480,11
77,8963,10544,19507,1,1581,11
78,9580,17225,26805,1,7645,15
79,16370,18330,34700,1,1960,15
80,23997,28621,52618,1,4624,15
81,11103,11473,22576,1,370,11
82,14944,12558,27502,1,-2386,15
83,10342,10585,20927,1,243,11
84,11972,11498,23470,1,-474,15
85,22132,24152,46284,1,2020,15
86,26203,24669,50872,1,-1534,19
87,7763,6415,14178,1,-1348,15
88,9235,8142,17377,1,-1093,15
91,901,680,1581,1,-221,15
92,1191,1022,2213,1,-169,11
93,946,1026,1972,1,80,11
95,912,870,1782,1,-42,11
96,1379,1123,2502,1,-256,15
98,2519,2551,5070,1,32,19
100,2467,1975,4442,1,-492,11
101,803,699,1502,1,-104,11
102,2197,1789,3986,1,-408,19
103,1355,1717,3072,1,362,23
104,842,1210,2052,1,368,11
105,1426,863,2289,1,-563,11
106,4136,4402,8538,1,266,19
107,263,219,482,1,-44,15
108,1587,1745,3332,1,158,23
110,1860,2005,3865,1,145,15
111,1663,2807,4470,1,1144,15
112,1295,1850,3145,1,555,15
113,593,425,1018,1,-168,11
114,672,1022,1694,1,350,11
115,465,411,876,1,-54,15
117,3227,2418,5645,1,-809,11
118,407,341,748,1,-66,11
119,930,878,1808,1,-52,15
120,851,847,1698,1,-4,15
125,4110,2798,6908,1,-1312,19
126,4716,3497,8213,1,-1219,19
127,3685,2693,6378,1,-992,15
128,1970,1628,3598,1,-342,15
129,1080,833,1913,1,-247,11
130,5169,4708,9877,1,-461,19
131,3663,3358,7021,1,-305,15
132,2060,1845,3905,1,-215,11
133,6303,4932,11235,1,-1371,19
134,2859,2593,5452,1,-266,15
135,2505,1964,4469,1,-541,11
136,2633,2311,4944,1,-322,15
137,1812,1694,3506,1,-118,11
139,2453,2591,5044,1,138,15
140,5575,4329,9904,1,-1246,19
141,9344,9247,18591,1,-97,15
142,5596,4906,10502,1,-690,19
143,6401,5680,12081,1,-721,15
144,2244,1740,3984,1,-504,15
145,1432,1143,2575,1,-289,15
146,1638,1124,2762,1,-514,15
148,8095,6020,14115,1,-2075,15
149,2717,2691,5408,1,-26,15
150,4220,3961,8181,1,-259,15
151,3240,2627,5867,1,-613,15
152,3177,2790,5967,1,-387,15
153,2729,2177,4906,1,-552,15
154,10521,9284,19805,1,-1237,15
155,9090,9801,18891,1,711,15
156,16464,15856,32320,1,-608,11
157,16979,19723,36702,1,2744,19
158,12515,17492,30007,1,4977,15
159,5518,7664,13182,1,2146,15
160,10696,11246,21942,1,550,15
161,10622,9944,20566,1,-678,15
162,11428,17415,28843,1,5987,19
163,11686,13552,25238,1,1866,19
164,4938,5455,10393,1,517,19
165,16414,14940,31354,1,-1474,19
166,10651,9766,20417,1,-885,11
167,4390,3524,7914,1,-866,15
168,13943,13006,26949,1,-937,15
169,8837,7684,16521,1,-1153,11
170,11340,10790,22130,1,-550,15
171,19702,17615,37317,1,-2087,19
172,11947,12901,24848,1,954,11
173,26407,27693,54100,1,1286,19
174,10411,11510,21921,1,1099,15
175,10671,12057,22728,1,1386,11
176,8161,6265,14426,1,-1896,19
177,8307,7237,15544,1,-1070,11
178,7780,11850,19630,1,4070,15
179,11368,10585,21953,1,-783,11
180,10880,10562,21442,1,-318,15
181,6534,8584,15118,1,2050,15
182,16101,15704,31805,1,-397,15
183,11034,9194,20228,1,-1840,11
184,6718,5742,12460,1,-976,11
185,4992,4497,9489,1,-495,15
186,5964,4790,10754,1,-1174,11
187,5768,4991,10759,1,-777,11
188,14321,11278,25599,1,-3043,19
189,7724,6651,14375,1,-1073,15
190,7075,5988,13063,1,-1087,11
191,10465,7709,18174,1,-2756,15
192,7134,5406,12540,1,-1728,15
193,7953,5943,13896,1,-2010,11
194,27169,18485,45654,1,-8684,19
195,12507,8612,21119,1,-3895,23
196,22501,19038,41539,1,-3463,19
197,12008,8967,20975,1,-3041,15
198,13646,9924,23570,1,-3722,19
199,22088,20672,42760,1,-1416,15
200,11978,10392,22370,1,-1586,15
201,10014,5977,15991,1,-4037,19
202,7668,6552,14220,1,-1116,11
203,11157,9069,20226,1,-2088,19
204,7344,6555,13899,1,-789,11
205,3309,1908,5217,1,-1401,15
206,5971,4746,10717,1,-1225,15
207,11132,9836,20968,1,-1296,11
208,7418,6415,13833,1,-1003,15
209,3412,2704,6116,1,-708,15
210,7532,6490,14022,1,-1042,23
211,7485,6511,13996,1,-974,11
212,4142,2836,6978,1,-1306,19
213,3163,2236,5399,1,-927,11
214,4370,2883,7253,1,-1487,15
215,2683,2035,4718,1,-648,15
216,7397,5271,12668,1,-2126,11
217,1599,1323,2922,1,-276,11
218,1867,1639,3506,1,-228,15
219,3699,2956,6655,1,-743,19
220,1937,1554,3491,1,-383,11
221,3831,3048,6879,1,-783,15
222,3948,3113,7061,1,-835,19
224,6724,5362,12086,1,-1362,15
225,5008,6268,11276,1,1260,15
226,17461,18085,35546,1,624,19
227,7600,8565,16165,1,965,11
228,5055,5645,10700,1,590,19
229,4612,5328,9940,1,716,19
230,7688,8604,16292,1,916,15
231,3916,3771,7687,1,-145,15
232,7473,10184,17657,1,2711,19
233,13258,14957,28215,1,1699,19
234,6280,7714,13994,1,1434,15
235,6850,5922,12772,1,-928,19
236,7524,10011,17535,1,2487,19
237,3404,3148,6552,1,-256,15
238,2945,2400,5345,1,-545,19
239,1638,1462,3100,1,-176,15
240,1126,1265,2391,1,139,19
241,3587,3162,6749,1,-425,11
242,2447,2139,4586,1,-308,11
243,3980,3183,7163,1,-797,11
244,10724,9445,20169,1,-1279,15
246,7545,7529,15074,1,-16,15
247,12472,18648,31120,1,6176,23
248,2870,5083,7953,1,2213,11
249,9381,10739,20120,1,1358,11
250,3884,4648,8532,1,764,15
251,1702,1394,3096,1,-308,15
253,85,67,152,1,-18,15
