Estaciones,Viajes
2,3109
3,2636
4,2879
5,2100
6,1799
8,1280
9,3018
10,2027
11,6864
12,2760
13,1473
14,2754
15,2088
16,4292
17,3290
18,1888
19,2104
20,2080
21,4729
22,2385
23,3103
24,1709
25,2175
26,2883
27,3488
28,2849
29,1663
30,2688
31,1862
32,3812
33,2839
34,5702
35,5467
36,2694
37,1585
38,4813
39,2546
40,2669
41,1573
42,3559
43,1770
44,1531
45,3050
46,1883
47,2284
48,1680
49,2633
50,8143
51,10712
52,7820
53,4423
54,6195
55,1783
56,5968
57,2044
58,5561
59,1957
60,1991
61,2348
62,3183
63,4077
64,4947
65,5198
66,5786
67,2554
68,2135
69,5555
70,3374
71,1604
72,2661
73,3997
74,2523
75,6695
76,1599
77,1784
78,2453
79,3042
80,4277
81,2239
82,2388
83,1923
84,2173
85,4347
86,4536
87,1425
88,1646
91,157
92,179
93,119
95,180
96,178
98,484
100,421
101,96
102,415
103,243
104,400
105,268
106,757
107,50
108,235
110,361
111,389
112,351
113,58
114,151
115,78
117,481
118,57
119,174
120,219
125,724
126,903
127,528
128,327
129,156
130,997
131,674
132,416
133,1101
134,474
135,448
136,517
137,331
139,494
140,847
141,1568
142,908
143,1024
144,345
145,238
146,250
148,1259
149,495
150,710
151,483
152,508
153,405
154,1768
155,1802
156,2964
157,3286
158,2712
159,1180
160,2035
161,1996
162,2756
163,2351
164,1054
165,2732
166,1766
167,644
168,2440
169,1411
170,2142
171,3350
172,2418
173,5325
174,2211
175,2215
176,1252
177,1387
178,1806
179,1864
180,1908
181,1441
182,2845
183,1701
184,1231
185,787
186,977
187,940
188,2326
189,1339
190,1193
191,1587
192,1177
193,1499
194,4588
195,1965
196,3671
197,1961
198,2206
199,4171
200,2428
201,1655
202,1483
203,1900
204,1444
205,595
206,1000
207,1804
208,1496
209,569
210,1210
211,1455
212,701
213,580
214,591
215,421
216,1188
217,267
218,354
219,590
220,283
221,592
222,625
223,128
224,897
225,1006
226,3101
227,1537
228,1172
229,979
230,1463
231,673
232,1665
233,2592
234,1366
235,1259
236,1638
237,561
238,484
239,240
240,211
241,545
242,394
243,622
244,1985
246,1320
247,2857
248,752
249,1758
250,1252
251,540