Estacion,Viajes
2,3327
3,2661
4,2924
5,2119
6,1926
8,1429
9,3129
10,2110
11,7770
12,2930
13,1914
14,2873
15,1942
16,4329
17,3742
18,2032
19,2098
20,1898
21,4828
22,2527
23,3236
24,1581
25,2349
26,3217
27,3854
28,2979
29,1764
30,3180
31,2112
32,4231
33,2644
34,6366
35,5422
36,2928
37,1574
38,5060
39,2668
40,2589
41,1442
42,3411
43,2022
44,1730
45,2732
46,2122
47,2335
48,1584
49,2777
50,9613
51,11363
52,8178
53,4632
54,6551
55,1714
56,6521
57,2217
58,5970
59,1889
60,2004
61,2568
62,3624
63,4389
64,5092
65,5004
66,5917
67,2792
68,1956
69,5201
70,3587
71,1856
72,2811
73,4325
74,2819
75,6845
76,1665
77,1669
78,2378
79,3534
80,4587
81,2447
82,2736
83,1949
84,2177
85,4434
86,4326
87,1307
88,1571
91,204
92,160
93,228
95,195
96,171
98,387
100,438
101,124
102,408
103,244
104,414
105,247
106,739
107,43
108,255
110,439
111,458
112,297
113,135
114,117
115,92
117,474
118,68
119,176
120,182
125,617
126,833
127,624
128,285
129,168
130,853
131,612
132,257
133,1036
134,444
135,321
136,418
137,314
139,396
140,936
141,1640
142,1144
143,1138
144,310
145,220
146,262
148,1402
149,511
150,771
151,565
152,617
153,381
154,1876
155,1870
156,3111
157,3376
158,2732
159,1287
160,2106
161,2015
162,3808
163,2205
164,971
165,3253
166,2109
167,825
168,2689
169,1530
170,1918
171,3729
172,2829
173,6138
174,2143
175,2314
176,1296
177,1280
178,1960
179,2114
180,1819
181,1417
182,3055
183,1811
184,1254
185,901
186,954
187,935
188,2524
189,1176
190,1034
191,1617
192,1232
193,1447
194,4494
195,1806
196,3968
197,1899
198,2182
199,3831
200,2261
201,1623
202,1400
203,2037
204,1363
205,596
206,950
207,1722
208,1326
209,510
210,1382
211,1352
212,674
213,520
214,538
215,362
216,1271
217,250
218,309
219,481
220,298
221,643
222,568
223,103
224,1056
225,903
226,3691
227,1597
228,1170
229,852
230,1606
231,720
232,1926
233,3216
234,1378
235,1202
236,1653
237,732
238,507
239,331
240,237
241,518
242,329
243,552
244,1700
246,1801
247,3959
248,1003
249,1881
250,1286
251,514