Estacion,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2,2450,2610,2893,2431,2757,2862,2929,3109,3327,3622,3659,3212
3,1991,2170,2257,2031,2445,2426,2426,2636,2661,3298,3220,2481
4,2249,2150,2616,1977,2498,2675,2717,2879,2924,3263,3484,2438
5,1312,1229,1410,1266,1689,2070,2024,2100,2119,2267,2197,1709
6,1067,1045,1707,1387,1740,1746,1624,1799,1926,2053,1837,1305
8,1066,1079,1147,960,1229,1183,1141,1280,1429,1649,1685,1296
9,1989,2291,2518,2175,2665,2719,2890,3018,3129,3326,3422,2785
10,1563,1529,1810,1400,2059,2059,1722,2027,2110,2293,2297,1579
11,4181,4655,5839,4665,5810,5895,5906,6864,7770,8550,7646,5447
12,1905,1923,2468,2227,2554,2582,2794,2760,2930,3256,3224,2795
13,1333,1392,1583,1231,1548,1693,1957,1473,1914,2177,2163,1698
14,1786,1772,2066,1855,2375,2404,2464,2754,2873,3482,3051,2564
15,1568,1509,1650,1490,1868,2094,1965,2088,1942,2066,2127,1700
16,3044,2970,3653,3124,3734,4202,4044,4292,4329,4819,4819,4072
17,2418,2235,2879,2507,3084,3316,3079,3290,3742,4181,4342,3754
18,1454,1498,1807,1389,1913,1739,1679,1888,2032,2347,2553,1951
19,1772,1556,1997,1648,1961,1986,1919,2104,2098,2292,2266,1792
20,1452,1423,1755,1384,1801,1777,1894,2080,1898,2074,1920,1600
21,2525,2803,3523,3197,4000,4101,3818,4729,4828,5448,5321,4651
22,2081,2003,2389,2018,2279,2510,2487,2385,2527,3038,3075,2333
23,2078,1993,2399,2063,2625,2760,2739,3103,3236,3934,3927,3252
24,1091,1207,1421,1296,1540,1577,1524,1709,1581,1801,1835,1640
25,1614,1687,1691,1253,1996,2115,1871,2175,2349,2561,2372,1959
26,1565,1749,2300,1913,2468,2537,2634,2883,3217,3637,3261,2668
27,2309,2567,3027,2168,3251,2929,2748,3488,3854,4624,4385,3032
28,2015,2455,2604,2233,2956,2743,2676,2849,2979,3436,3457,2681
29,1150,1387,1512,959,1407,1200,1128,1663,1764,2031,1820,1155
30,2107,2125,2360,2292,2620,2441,2455,2688,3180,3426,3365,2802
31,1270,1436,1626,1441,1789,1818,1682,1862,2112,2331,2047,1536
32,3180,3330,3950,3095,3619,3587,3534,3812,4231,4784,4243,3180
33,2113,1987,2210,1986,2213,2504,2521,2839,2644,3228,3105,2774
34,3645,4503,5034,3616,4700,4714,4390,5702,6366,7178,6667,4041
35,3782,4665,4816,4053,4941,5073,5072,5467,5422,6577,6367,5107
36,1934,2019,2374,1946,2393,2469,2559,2694,2928,3034,2949,2846
37,1079,1163,1256,1184,1338,1274,1341,1585,1574,1869,1967,1666
38,3438,3336,4045,3455,4183,4562,4417,4813,5060,5623,5249,4218
39,1657,1427,1634,1357,1857,2013,2127,2546,2668,2852,2746,2336
40,1885,2185,2590,2005,2238,2457,2607,2669,2589,2800,2575,2068
41,1240,1104,1215,1128,1326,1193,1449,1573,1442,1768,1621,1414
42,2469,2426,2719,2234,2963,3302,3145,3559,3411,3757,3468,2815
43,1212,1329,1601,1305,1617,1554,1545,1770,2022,2114,1949,1469
44,1387,1404,1679,1321,1709,1638,1657,1531,1730,2142,1982,1660
45,1696,1704,2106,1837,2447,2500,2715,3050,2732,3303,3251,2479
46,1328,1530,1820,1483,1773,1842,1852,1883,2122,2545,2693,1908
47,1709,1788,2049,1490,2021,1992,1971,2284,2335,2417,2364,1686
48,1285,1271,1543,1233,1511,1486,1488,1680,1584,1652,1663,1217
49,1766,1936,2203,1959,2450,2426,2546,2633,2777,3236,3587,2708
50,6244,6449,7988,5978,7687,7960,8722,8143,9613,10519,10095,7798
51,5093,5378,6746,6004,7453,8540,9306,10712,11363,13251,13961,11151
52,5878,5914,6970,5477,6553,6742,7099,7820,8178,9050,8612,7170
53,2820,2783,3575,3016,3478,3604,4116,4423,4632,5156,5101,4244
54,4112,4637,5324,4610,5613,6053,6335,6195,6551,7651,7180,6409
55,1273,1602,1838,1475,1679,1775,1647,1783,1714,2255,2094,1878
56,4613,5124,5980,4660,5221,5319,5441,5968,6521,6943,6875,6020
57,1389,1462,1567,1097,1319,1463,1829,2044,2217,2388,2227,1593
58,3939,4436,4860,3753,4884,4931,4925,5561,5970,6457,5956,4818
59,1313,1290,1565,1363,1691,1880,1878,1957,1889,2068,2224,1573
60,1397,1472,1702,1650,1727,1666,1759,1991,2004,1950,1991,1628
61,1526,1588,2356,1835,2064,1986,2195,2348,2568,2435,2204,1791
62,2105,2142,2636,2028,2593,2747,2955,3183,3624,3686,3635,2964
63,3001,2852,3628,2911,3466,3503,3839,4077,4389,4841,4853,3634
64,3539,3763,4793,3796,4446,4433,4610,4947,5092,5008,5097,4145
65,3290,3128,3627,3203,4131,4846,4976,5198,5004,5513,5959,5132
66,3348,3507,4337,3517,4541,4659,4645,5786,5917,6320,6541,5155
67,1580,1714,1986,1639,2104,2306,2371,2554,2792,3351,3199,2092
68,1336,1584,1892,1358,1947,1985,1993,2135,1956,2242,2133,1695
69,3455,3766,4408,3812,4658,5152,5020,5555,5201,5824,5747,4216
70,2490,2656,3297,2480,3055,3120,3011,3374,3587,4005,3846,3085
71,1058,1163,1347,1089,1515,1735,1700,1604,1856,2116,2124,1565
72,2042,2275,2576,2170,2357,2115,2263,2661,2811,3271,3102,2509
73,2839,3175,3812,3157,3939,3916,4073,3997,4325,4475,4307,3384
74,1632,1797,2183,1797,2062,2380,2337,2523,2819,3001,2903,2118
75,5172,5019,5793,4711,5706,5732,5908,6695,6845,7493,7099,5564
76,1071,989,1058,958,1146,1535,1474,1599,1665,1777,1804,1436
77,1412,1374,1658,1437,2028,1611,1598,1784,1669,1803,1726,1407
78,1634,1911,2383,1917,2235,2173,2237,2453,2378,2708,2752,2024
79,2116,2557,2788,1923,2511,3053,2728,3042,3534,3888,3691,2869
80,3734,3989,4977,3702,4459,4319,4310,4277,4587,5411,4951,3902
81,412,1325,1660,1486,1827,1789,1960,2239,2447,2830,2521,2080
82,1743,1778,2214,1763,2432,2231,2303,2388,2736,2885,2830,2199
83,1453,1434,1616,1496,1750,1630,1680,1923,1949,2102,2203,1691
84,1616,1513,1854,1547,1893,2079,2125,2173,2177,2383,2206,1904
85,2646,3011,3696,3080,3640,3782,4116,4347,4434,4917,4829,3786
86,3553,3652,4037,3616,4167,4057,4159,4536,4326,5235,5248,4286
87,994,916,986,799,1108,1229,1235,1425,1307,1479,1474,1226
88,1022,1012,1346,1173,1457,1615,1559,1646,1571,1797,1738,1441
91,106,106,104,91,62,109,78,157,204,240,169,155
92,261,203,195,181,162,182,247,179,160,152,175,116
93,237,175,178,131,142,123,145,119,228,209,145,140
95,73,101,113,96,125,121,162,180,195,178,212,226
96,185,195,301,274,250,223,209,178,171,249,156,111
97,120,135,134,145,110,69,504,484,387,515,406,343
98,255,338,491,344,438,565,388,421,438,383,336,202
100,393,361,439,306,406,369,97,96,124,166,150,136
101,138,108,160,100,111,116,357,415,408,413,337,239
102,263,248,296,240,345,425,274,243,244,341,321,253
103,245,236,255,156,249,255,163,400,414,216,117,124
104,60,65,118,100,127,148,250,268,247,282,211,122
105,132,145,152,74,171,235,741,757,739,836,729,588
106,707,669,709,516,749,798,30,50,43,50,38,34
107,68,47,39,14,38,31,188,235,255,288,272,178
108,322,390,447,237,249,271,361,361,439,550,458,317
110,95,149,252,289,300,294,416,389,458,500,439,291
111,228,254,317,321,416,441,253,351,297,346,335,285
112,159,200,271,209,193,246,57,58,135,121,109,88
113,81,74,97,111,47,40,185,151,117,169,152,134
114,122,123,133,108,127,173,48,78,92,69,86,44
115,55,31,132,76,112,53,446,481,474,604,520,437
117,472,397,485,339,442,548,41,57,68,54,66,42
118,49,69,88,50,85,79,193,174,176,221,176,124
119,90,99,152,105,125,173,191,219,182,187,133,94
120,141,78,91,88,116,178,611,724,617,714,743,525
125,482,487,454,480,490,581,768,903,833,876,796,713
126,565,523,585,444,537,670,596,528,624,693,653,435
127,366,396,460,461,548,618,378,327,285,385,364,268
128,217,204,241,261,299,369,102,156,168,236,236,134
129,133,155,157,143,139,154,938,997,853,859,798,744
130,812,701,766,671,790,948,602,674,612,686,741,524
131,496,483,551,442,620,590,298,416,257,378,353,294
132,287,317,330,305,364,306,961,1101,1036,1135,1016,783
133,818,700,919,798,881,1087,412,474,444,616,483,377
134,432,427,544,432,381,430,390,448,321,421,483,412
135,307,315,369,266,364,373,536,517,418,527,411,367
136,271,200,382,345,442,528,290,331,314,316,300,220
137,276,286,297,301,291,284,396,494,396,559,361,334
139,451,438,555,330,371,359,875,847,936,1227,1182,733
140,603,582,692,614,780,833,1639,1568,1640,2018,1927,1533
141,1254,1185,1399,1219,1469,1740,737,908,1144,1239,1239,755
142,606,734,866,693,823,758,1017,1024,1138,1353,1232,1038
143,711,757,1004,836,1057,914,403,345,310,350,291,208
144,277,322,456,292,416,314,235,238,220,219,267,251
145,195,174,237,180,193,166,293,250,262,325,409,231
146,57,89,138,186,246,276,20,1259,1402,1514,1483,964
147,347,344,451,323,444,358,1216,495,511,633,581,469
148,964,963,1180,927,1185,1058,472,710,771,992,935,831
149,344,338,436,329,398,402,634,483,565,742,717,522
150,419,427,634,565,650,613,346,508,617,790,771,610
151,378,397,444,326,483,464,484,405,381,486,528,482
152,293,314,345,351,410,474,464,1768,1876,2037,1849,1429
153,268,310,383,330,468,401,1467,1802,1870,2040,1935,1278
154,1460,1381,1716,1445,1714,1663,1647,2964,3111,3241,3023,2831
155,997,1191,1532,1233,1615,1751,2796,3286,3376,3484,3419,2631
156,2092,2211,2501,2170,2531,2849,3142,2712,2732,2935,2907,2117
157,2555,2597,3157,2601,3101,3353,2581,1180,1287,1305,1248,1119
158,2054,2176,2827,1928,2569,2469,1010,2035,2106,2432,2415,1783
159,827,894,1171,922,1132,1087,1729,1996,2015,2188,2257,1500
160,1463,1483,1637,1379,1799,1681,1811,2756,3808,3880,4046,1899
161,1144,1294,1561,1419,1609,1772,1720,2351,2205,2420,2537,2000
162,1196,1573,2096,1603,2394,1872,1997,1054,971,1206,1248,918
163,1821,1790,2181,1641,2052,2243,1027,2732,3253,3714,3541,2236
164,387,496,729,646,831,880,2226,1766,2109,2133,2027,1652
165,2073,2326,2740,1945,2339,2229,1565,644,825,987,936,591
166,1272,1302,1824,1410,1864,1493,645,2440,2689,3050,2901,2199
167,441,581,611,494,564,595,2095,1411,1530,1664,1758,1468
168,1994,1823,2004,1550,2023,2181,1408,2142,1918,2290,2076,1971
169,1004,1004,1198,1146,1538,1392,1860,3350,3729,4061,3952,3134
170,1236,1436,1766,1618,1930,1887,2948,2418,2829,3058,2925,2157
171,2344,2621,2971,2286,3033,2888,1935,5325,6138,5693,5242,3218
172,1033,1412,1749,1352,1906,2074,4106,2211,2143,2331,2232,1823
173,2840,3891,5148,3503,4700,4296,1936,2215,2314,2666,2582,1970
174,1202,1296,1596,1407,1835,1909,1938,1252,1296,1567,1493,1219
175,912,1034,1685,1430,1949,2033,1198,1387,1280,1621,1573,1603
176,946,907,1207,970,1195,1176,1376,1806,1960,2337,2373,1439
177,893,925,1154,1021,1290,1421,1529,1864,2114,2526,2160,1867
178,1126,1256,1625,1128,1599,1452,1667,1908,1819,2301,2246,1814
179,1296,1428,1637,1587,2045,1762,1750,1441,1417,1617,1473,974
180,1000,1505,1688,1670,1914,1827,1281,2845,3055,3553,3334,2946
181,1078,1098,1242,1000,1255,1242,2805,1701,1811,2080,2114,1696
182,1757,1879,2390,2028,2493,2720,1619,1231,1254,1469,1399,1146
183,1584,1654,1697,1230,1491,1551,1019,787,901,1063,978,802
184,716,790,843,669,952,972,847,977,954,1069,955,587
185,491,583,767,659,795,816,1000,940,935,898,1060,824
186,801,824,916,656,980,1035,867,2326,2524,2842,2884,1969
187,817,864,1108,720,844,882,2187,1339,1176,1438,1416,970
188,1445,1561,1918,1559,1951,2433,1234,1193,1034,1449,1324,1004
189,913,1085,1388,914,1261,1241,1185,1587,1617,1646,1693,1490
190,766,804,1132,831,1087,1254,1397,1177,1232,1504,1350,924
191,1348,1291,1561,1364,1517,1663,1098,1499,1447,1276,1380,996
192,689,784,969,768,947,1098,1374,4588,4494,5717,5382,3894
193,995,909,947,717,1046,1310,4016,1965,1806,2555,2428,1720
194,2666,2514,3256,2481,2875,3771,1687,3671,3968,4518,4272,3485
195,1135,1257,1678,1388,1702,1798,3531,1961,1899,2600,2178,1681
196,2892,2763,3252,2799,3193,3195,2008,2206,2182,2860,2385,1784
197,1408,1366,1545,1044,1467,1818,2224,4171,3831,4522,3888,3344
198,1306,1372,1689,1431,2017,2114,3649,2428,2261,1933,2071,1714
199,2744,2895,3630,3018,3568,3500,2076,1655,1623,1673,1585,1254
200,1233,1419,1763,1495,1927,2050,1415,1483,1400,1433,1458,1094
201,915,934,1124,1003,1296,1514,1140,1900,2037,2361,2204,1652
202,1067,878,1043,841,1113,1270,1754,1444,1363,1150,1342,1004
203,1328,1175,1337,1249,1535,1694,1400,595,596,647,428,353
204,857,915,1110,860,1113,1341,561,1000,950,961,872,849
205,263,222,351,278,425,498,982,1804,1722,2129,2119,1557
206,727,810,960,846,912,848,1693,1496,1326,1117,1443,1011
207,1521,1733,1949,1494,1585,1662,1470,569,510,533,608,515
208,795,824,974,824,1124,1429,538,1210,1382,1435,1402,1016
209,491,566,488,342,451,505,1142,1455,1352,1449,1356,1073
210,971,1039,1163,1006,1128,1128,1427,701,674,782,773,603
211,778,734,955,840,1275,1302,626,580,520,538,539,311
212,380,314,471,532,522,600,531,591,538,751,648,486
213,315,343,468,375,377,502,546,421,362,370,377,288
214,414,650,822,575,601,631,384,1188,1271,1472,1367,1154
215,368,381,462,330,505,470,1082,267,250,301,177,154
216,778,701,836,725,947,1147,234,354,309,476,446,308
217,215,279,254,227,234,330,358,590,481,512,652,391
218,134,199,233,173,227,289,712,283,298,287,344,296
219,440,494,574,549,628,632,302,592,643,773,834,688
220,255,269,319,196,293,349,811,625,568,692,804,708
221,428,372,400,364,426,548,618,128,103,173,334,237
222,479,417,525,470,594,561,176,897,1056,1192,1872,1278
223,163,107,141,112,115,151,1334,1006,903,1109,1180,835
224,639,736,679,600,889,914,1039,3101,3691,3976,3666,2694
225,860,828,1015,702,857,942,3091,1537,1597,1836,1896,1140
226,2190,2319,2894,2386,2829,2709,1555,1172,1170,1309,1222,878
227,847,1094,1376,1002,1208,1077,1097,979,852,971,908,657
228,435,517,793,503,757,847,955,1463,1606,1818,1819,1021
229,726,742,860,709,747,834,1160,673,720,887,805,493
230,1086,1231,1546,1046,1485,1011,664,1665,1926,2109,1841,1057
231,452,536,726,501,653,577,1317,2592,3216,3516,3217,1379
232,1096,1203,1517,1133,1546,1247,1470,1366,1378,1416,1245,883
233,1934,2386,2917,1727,2555,1306,1259,1259,1202,1372,1293,956
234,905,1098,1272,927,1188,1057,1068,1638,1653,1924,1928,1648
235,893,916,1050,788,966,1009,1437,561,732,689,673,497
236,1130,1032,1383,1010,1368,1384,483,484,507,568,552,566
237,416,382,477,429,604,609,510,240,331,331,348,336
238,241,301,389,321,403,503,192,211,237,295,296,236
239,117,161,326,222,253,243,165,545,518,567,624,496
240,110,131,204,161,167,178,563,394,329,445,423,259
241,659,592,563,492,512,618,400,622,552,787,763,536
242,322,273,426,348,460,507,597,1985,1700,1993,1867,1708
243,590,517,571,466,559,603,1879,1320,1801,2020,2061,1271
244,1063,1196,1804,1376,1743,1855,862,2857,3959,4270,3716,1528
246,589,962,1286,867,1103,932,1772,752,1003,977,937,553
247,1560,2369,2827,1738,2640,1884,404,1758,1881,2070,1927,1772
248,515,653,719,450,584,406,1641,1252,1286,1604,1600,1324
249,1241,1246,1561,1307,1781,1935,1047,540,514,651,577,446